name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
박석민,2016,NC,3B,4.14,44.4,79.1,10.3,506,427,77,247,104,0.307,0.404,0.578,0.424,4.78,2.16,0.272,0.097,0.326,1.8,3.77,144.1,19.8,28.9,48.9,1.7,0.354,34.1,2.16,0,1,0,75000
김성욱,2016,NC,CF,3.93,46.6,80.8,8.1,348,306,60,143,51,0.265,0.334,0.467,0.348,1.23,0.57,0.203,0.07,0.288,3.7,7.5,94.9,0.8,19.9,19,-0.1,0.318,2.53,0.57,0,1,3.8,10000
손시헌,2016,NC,SS,3.75,45.2,84.4,9,403,341,36,144,39,0.305,0.394,0.422,0.371,2.73,1.81,0.117,0.089,0.343,2.5,1.67,110.3,16.1,23,44,1.9,0.311,2.82,1.81,0,0,5.56,40000
모창민,2016,NC,3B,3.59,52,78.1,9.8,147,133,16,67,20,0.331,0.37,0.504,0.384,1,0.46,0.173,0.039,0.365,1.9,3.75,118.4,5.8,8.4,13.6,0.5,0.29,-2.09,0.46,0,0,3.23,11700
이호준,2016,NC,DH,4.15,39.9,78.8,6.5,472,399,46,202,87,0.298,0.396,0.506,0.396,1.71,3.17,0.208,0.097,0.322,1.9,5.25,125.7,12.5,26.9,24,-0.3,0.342,29.77,3.17,0,0,0,75000
박민우,2016,NC,2B,4.08,40.1,86.8,8.2,515,435,84,186,55,0.343,0.42,0.428,0.387,4.09,2.5,0.085,0.077,0.396,6.7,5.22,122.1,19.7,29.4,50.6,1.9,0.434,31.73,2.5,0,3,0.79,25000
조영훈,2016,NC,1B,3.83,49.4,70.9,10.4,207,179,29,89,35,0.335,0.408,0.497,0.404,1.18,0.5,0.162,0.073,0.41,3.4,3.75,131.7,9.1,11.8,17.2,0.5,0.339,13.91,0.5,0,0,0,15000
나성범,2016,NC,RF,3.8,51.9,75.8,13,653,572,116,284,113,0.309,0.388,0.497,0.395,4.42,1.93,0.187,0.079,0.371,4.9,10.62,125.9,31.7,37.3,61.5,2.1,0.32,37.97,1.93,1,0,2.82,35000
김선민,2016,kt,2B,4.6,36.2,81,6.9,63,50,7,11,2,0.22,0.361,0.22,0.296,-0.04,-0.21,0,0.141,0.306,2.9,0,57.1,-4.1,3.6,-0.5,-0.4,0.25,-4.9,-0.21,0,0,0,3000
박경수,2016,kt,2B,4.25,41.5,77.4,10.9,476,402,64,210,80,0.313,0.412,0.522,0.415,4.04,2.22,0.209,0.098,0.346,3.1,5.22,135,27.3,27.2,55.2,2.5,0.325,30.72,2.22,1,2,0,23000
박용근,2016,kt,3B,4.07,40.9,77.6,6,86,74,5,26,6,0.23,0.326,0.351,0.316,-0.02,-0.1,0.122,0.096,0.267,4.1,0,71,-8.2,4.9,-2.9,-0.7,0.15,-1.64,-0.1,0,0,0,3800
김사연,2016,kt,RF,3.92,50.2,77.4,12.9,63,56,6,15,4,0.25,0.333,0.268,0.298,-0.15,-0.28,0.018,0.083,0.304,2,0,58.8,-3.7,3.6,-0.7,-0.4,0.308,-4.16,-0.28,0,0,0,4000
유한준,2016,kt,RF,3.91,41.6,90,7.1,460,408,70,201,64,0.336,0.404,0.493,0.405,3.29,3.42,0.157,0.069,0.345,3.3,6.22,128.6,23.5,26.2,43.6,1.5,0.319,28.24,3.42,0,0,2.68,60000
윤요섭,2016,kt,C,3.73,42.3,77.9,5.4,149,126,14,54,16,0.238,0.356,0.429,0.355,0.46,0.17,0.191,0.118,0.25,1.1,1.71,96,-4.5,8.5,4.4,-0.4,0.205,-1.19,0.17,0,0,0,5600
유민상,2016,kt,1B,4.18,42.8,81.9,8.7,254,213,30,86,37,0.282,0.375,0.404,0.357,0.55,0.44,0.122,0.093,0.322,2.7,1.6,97.6,-4.2,14.5,5.2,-0.8,0.312,4.66,0.44,0,0,6.35,4500
전민수,2016,kt,RF,3.91,44.8,81,10,240,213,31,90,29,0.305,0.373,0.423,0.361,0.7,0.8,0.117,0.068,0.378,4.5,3.75,100.2,3.2,13.7,13.9,0,0.362,12.96,0.8,2,0,3.45,5000
오정복,2016,kt,LF,3.88,43.5,87.6,7.5,344,306,45,123,36,0.304,0.358,0.402,0.343,0.67,0.23,0.098,0.054,0.322,4.1,1.67,88.3,-10.1,19.6,5.8,-1.2,0.313,-2.71,0.23,0,0,8.89,7000
이대형,2016,kt,CF,3.69,54,85.1,10,654,600,89,215,42,0.32,0.368,0.358,0.341,1.75,0.25,0.038,0.048,0.375,5.9,1.95,86.9,-23.6,37.3,13.5,-2.1,0.315,-7.55,0.25,0,0,1.16,30000
