name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
최형우,2016,삼성,LF,3.94,42,80.7,9.2,618,519,99,338,144,0.376,0.464,0.651,0.48,7.75,5.5,0.276,0.089,0.398,3,3.76,177.8,69.4,35.3,97.7,5.4,0.38,85.74,5.5,0,0,4.48,150000
박해민,2016,삼성,CF,3.82,45.9,86.2,7.2,641,564,109,231,61,0.3,0.357,0.41,0.339,2.19,1.06,0.11,0.057,0.347,8.3,7.43,86.5,6.2,36.6,42.4,0.5,0.299,1.7,1.06,2,4,4.29,23000
이영욱,2016,삼성,CF,3.69,53.7,62.1,6.3,52,49,16,12,4,0.163,0.212,0.245,0.214,-0.29,-0.57,0.082,0.048,0.259,5.4,1.71,4.9,-3.3,3,-0.9,-0.3,0.143,-5.37,-0.57,0,1,0,6500
백상원,2016,삼성,2B,3.65,44.2,86.2,10.3,517,445,60,162,49,0.288,0.361,0.364,0.335,1.36,0.45,0.076,0.073,0.329,4.3,4.36,83.9,-8,29.5,23.5,-0.5,0.312,-3.16,0.45,0,0,2.99,9000
김태완,2016,한화,,4.46,48.6,63.5,27.8,24,20,3,10,0,0.35,0.458,0.5,0.441,0.25,-0.13,0.15,0.108,0.583,4.8,0,152.9,2.5,1.4,3.7,0.2,0.238,-4.52,-0.37,0,0,0,5000
성의준,2016,삼성,3B,3.52,50.6,70.7,8.3,23,20,2,6,2,0.15,0.261,0.3,0.263,-0.06,0.04,0.15,0.111,0.133,2.4,0,36.8,-1.8,1.3,-0.3,-0.1,0.2,-0.81,0.04,0,0,0,3500
우동균,2016,삼성,RF,4.5,38.5,85.2,7.8,82,68,14,22,10,0.221,0.333,0.324,0.309,-0.04,0.38,0.103,0.113,0.228,3.8,0,67.1,-1.9,4.7,2,-0.2,0.286,1.09,0.38,0,1,0,5500
박한이,2016,삼성,RF,4.21,43.5,79.2,8.6,401,349,57,168,69,0.301,0.372,0.481,0.374,1.57,3.4,0.181,0.071,0.341,3,1.87,109.2,2.2,22.9,20.7,-0.2,0.333,26.71,3.4,0,1,2.33,45000
배영섭,2016,삼성,RF,4.1,36.1,89.7,7.9,381,323,53,115,22,0.266,0.374,0.356,0.348,0.71,-0.59,0.09,0.107,0.295,2.9,4.44,92.5,-5.8,21.7,13.8,-0.7,0.189,-3.72,-0.59,0,0,4.3,15000
조동찬,2016,삼성,3B,3.99,49.6,72.2,12.2,282,247,32,111,36,0.275,0.348,0.449,0.354,0.79,0.62,0.174,0.072,0.33,2.4,0,95.6,-9,16.1,8.3,-0.7,0.222,0.58,0.62,0,0,4.55,40000
구자욱,2016,삼성,1B,3.9,43.4,82.1,10.1,495,428,105,234,77,0.343,0.42,0.547,0.427,3.96,4.99,0.203,0.076,0.379,6.9,11.67,142.5,33.3,28.2,52.6,2.1,0.352,51.68,4.99,0,3,4.32,16000
이승엽,2016,삼성,DH,3.86,47,78.9,9.2,623,542,91,281,118,0.303,0.38,0.518,0.396,2.62,2.49,0.216,0.078,0.316,4.1,8.44,123.1,21.1,35.5,36.3,0.1,0.328,44.83,2.49,0,1,2.1,100000
김정혁,2016,삼성,3B,3.81,46.4,75.1,6.7,118,106,13,34,11,0.236,0.299,0.321,0.288,-0.19,-0.88,0.085,0.063,0.288,4.3,1.33,53.1,-8.6,6.7,-2,-0.8,0.154,-6.47,-0.88,0,0,2.78,4300
